"","FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Directed Study","299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","302","001","","51","3.882","90.2","2.0","2.0","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","311","001","","20","3.583","50.0","25.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","311","002","","14","3.600","50.0","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","","Course Total","","34","3.590","50.0","20.6","26.5",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","23","3.445","8.7","69.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","4.3"
"","321","002","","22","3.544","40.9","27.3","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","26","3.665","69.2","11.5","3.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","","Course Total","","71","3.557","40.8","35.2","15.5","4.2","2.8",".",".",".",".",".",".",".",".",".",".","1.4"
"","322","001","","21","3.750","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","004","","16","3.645","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","","Course Total","","37","3.703","51.4","35.1","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347","001","","25","3.494","48.0","12.0","36.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","25","3.411","32.0","36.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Readings in 20th & 21st C. Lit","433","001","","23","3.373","26.1","52.2","8.7",".","4.3",".","4.3",".",".",".",".",".",".",".","4.3","."
"Medieval, Renais&Early Mod St","451","001","","22","3.636","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Film","465","001","","21","3.569","57.1","23.8","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Cultural Stdy","568","001","","13","3.716","76.9","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Communication orale","623","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Roman Francais 1850-1900","636","001","","15","3.893","73.3","20.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Culture et societes","642","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Roman Francais-XXe Siec","647","001","","8","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.792","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","024","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","24","3.954","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Romance Philology","817","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grammaire Et Style","825","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-18th C","932","001","","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 210 of 405",""
