"ALS","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","",""
"175
WISE Seminar","001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","4","***","","","","","","","","","","","","","","","",""
