"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction Systems","290","001","","33","3.439","21.2","54.5","18.2","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","47","3.266","23.4","34.0","25.5","6.4","10.6",".",".",".",".",".",".",".",".",".",".","."
"","299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Fluid Mechanics","310","001","","84","2.792","6.0","11.9","35.7","34.5","8.3","3.6",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","48","2.667","8.3","14.6","31.3","18.8","16.7","8.3","2.1",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","85","2.941","34.1","3.5","31.8","3.5","17.6","5.9","3.5",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","51","2.990","11.8","23.5","33.3","21.6","7.8",".","2.0",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","48","2.979","20.8","12.5","45.8","4.2","10.4","2.1","4.2",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","48","3.000","20.8","20.8","27.1","8.3","18.8","4.2",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","81","3.056","22.2","21.0","19.8","19.8","17.3",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","9","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Hydraulics","412","001","","10","3.250","30.0","40.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","17","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","39","2.846","15.4","17.9","25.6","12.8","23.1","5.1",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","39","3.833","71.8","25.6",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","25","3.380","36.0","36.0","8.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","30","3.533","36.7","33.3","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","59","3.716","62.7","27.1","5.1","1.7",".",".","1.7","1.7",".",".",".",".",".",".",".","."
"","498","002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","66","3.723","63.6","25.8","6.1","1.5",".",".","1.5","1.5",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retaining Structures","531","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Methods-Geol Engr","534","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Steel Structures II","545","001","","13","3.308","15.4","46.2","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","22","3.636","50.0","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","43","3.558","53.5","9.3","34.9",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructability Analysis","596","001","","27","3.648","44.4","40.7","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","11","3.813","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Waste Geotechnics","633","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","679","003","","12","3.550","25.0","41.7","16.7",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"","679","004","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
