"AGRICULTURAL AND APPLIED E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"999
085","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Spec Work-Ag & Appl Economics","6","3.700","50.0","16.7","16.7",".",".",".",".",".","",".",".","",".",".",".",".","16.7","."
"A A E
Dept. Total
108","624","3.177","24.7","21.3","27.9","6.9","10.6","1.0","0.6","4.0","",".",".","",".","0.2","2.6",".","0.2","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","58","3.078","10.3","24.1","46.6","8.6","10.3",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","105","3.300","22.9","28.6","36.2","10.5","1.9",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","113","3.157","22.1","28.3","28.3","4.4","15.9",".","0.9",".","",".",".","",".",".",".",".",".","."
"Senior","216","3.066","27.8","16.2","26.9","8.8","14.8","2.8","0.9","0.9","",".",".","",".",".","0.9",".",".","."
"Undergraduates","492","3.138","23.4","22.6","31.5","8.1","11.8","1.2","0.6","0.4","",".",".","",".",".","0.4",".",".","."
"Special","22","2.650","13.6","18.2","9.1","9.1","36.4",".","4.5","9.1","",".",".","",".",".",".",".",".","."
"Graduate","108","3.601","32.4","16.7","15.7","0.9",".",".",".","19.4","",".",".","",".","0.9","12.0",".","0.9","0.9"
"Prof Yr 2","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".",".","50.0",".",".","."
"Professionals","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".",".","50.0",".",".","."
"Dept. Total","624","3.177","24.7","21.3","27.9","6.9","10.6","1.0","0.6","4.0","",".",".","",".","0.2","2.6",".","0.2","0.2"
