"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"101","001","","72","2.387","18.1","8.3","19.4","9.7","20.8","9.7","12.5",".",".",".",".",".",".",".",".","1.4"
"101","002","","106","2.389","9.4","11.3","27.4","6.6","22.6","13.2","7.5",".",".",".",".",".",".","0.9",".","0.9"
"Animal Biology","Course Total","","178","2.389","12.9","10.1","24.2","7.9","21.9","11.8","9.6",".",".",".",".",".",".","0.6",".","1.1"
"102","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"102","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","010","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","012","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","","76","3.473","40.8","26.3","27.6","1.3",".","1.3","1.3",".",".",".",".",".",".",".",".","1.3"
"130
General Botany","001","","27","2.630","22.2","3.7","40.7","3.7","11.1","7.4","11.1",".",".",".",".",".",".",".",".","."
"150
Ways of Knowing Biology","001","","73","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"151
Introductory Biology","001","","135","2.815","15.6","10.4","40.7","5.9","20.7","4.4","2.2",".",".",".",".",".",".",".",".","."
"152","001","","202","3.287","34.2","13.4","40.6","2.5","8.4","0.5","0.5",".",".",".",".",".",".",".",".","."
"152","002","","179","2.908","11.7","11.2","54.7","5.0","13.4","1.1","2.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","381","3.109","23.6","12.3","47.2","3.7","10.8","0.8","1.6",".",".",".",".",".",".",".",".","."
"299
Directed Studies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","31","3.989","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Internship/Field Experience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","49","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
