"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practicum-Secondary Sci Ed","290
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","26","3.673","73.1","11.5","7.7",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","51","3.824","84.3","7.8","3.9",".","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","322
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Art","Course Total","","45","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum One","340
001","","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Music","Course Total","","46","3.924","89.1","8.7",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
001","","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
002","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","","50","3.930","88.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
368","","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","49","3.939","91.8","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
369","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","49","3.949","93.9","2.0","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
