"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"The Microbial World","100
001","30","3.583","70.0","10.0","3.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology","101
001","272","3.033","13.2","28.7","27.9","15.4","11.4","2.6",".","0.7",".",".",".",".",".",".",".","."
"","102
001","41","3.671","51.2","34.1","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","35","3.543","34.3","45.7","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","40","3.675","57.5","22.5","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","116","3.634","48.3","33.6","14.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","312","2.748","16.7","6.7","27.9","14.1","30.8","3.2","0.3","0.3",".",".",".",".",".",".",".","."
"","304
001","39","3.171","25.6","2.6","53.8","10.3","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"","304
002","40","3.163","20.0","12.5","52.5","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
304","38","3.066","18.4","13.2","44.7","10.5","13.2",".",".",".",".",".",".",".",".",".",".","."
"","304
004","38","3.105","7.9","18.4","65.8","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","155","3.127","18.1","11.6","54.2","8.4","7.1",".",".","0.6",".",".",".",".",".",".",".","."
"Microbial Genetics","370
001","51","3.160","31.4","11.8","37.3","7.8","3.9","3.9","2.0","2.0",".",".",".",".",".",".",".","."
"","375
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","71","3.827","80.3","14.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","15","3.000","20.0","6.7","46.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","50","3.140","28.0","12.0","36.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","38","3.803","71.1","21.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","38","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol & Genetics-Filament Fungi","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Microbiol-Atomic Resolution","668
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 9 of 405"
