"MED","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"MED PHYS
621","Dept. Total","263","3.713","47.9","16.3","8.4","1.1","",".","0.4","",".","17.5","",".",".","",".","8.0","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","5","3.917","80.0","20.0",".",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","27","3.470","33.3","33.3","18.5","7.4","",".","3.7","",".",".","",".",".","",".",".","3.7",".",".","."
"Undergraduates","","32","3.538","40.6","31.3","15.6","6.3","",".","3.1","",".",".","",".",".","",".",".","3.1",".",".","."
"Special","","1","3.500",".","100.0",".",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","223","3.742","48.9","13.9","7.6","0.4","",".",".","",".","19.7","",".",".","",".","9.4",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".","",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","6","3.885","66.7","16.7",".",".","",".",".","",".","16.7","",".",".","",".",".",".",".",".","."
"Professionals","","7","3.885","57.1","14.3",".",".","",".",".","",".","28.6","",".",".","",".",".",".",".",".","."
"","Dept. Total","263","3.713","47.9","16.3","8.4","1.1","",".","0.4","",".","17.5","",".",".","",".","8.0","0.4",".",".","."
