"","899
007","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","899
032","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"Thesis","990
032","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PORTUG
782","Dept. Total","162","3.191","31.5","23.5","21.0","10.5","8.0","2.5","0.6","1.9","",".",".","",".","",".","",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","2.667",".",".","66.7",".","33.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","32","3.110","18.8","25.0","28.1","18.8","9.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","38","3.101","28.9","15.8","18.4","23.7","7.9","2.6",".",".","",".",".","",".","",".","",".","2.6",".","."
"Senior","","49","3.077","26.5","30.6","22.4","4.1","8.2","6.1","2.0",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","125","3.071","24.0","23.2","24.8","13.6","9.6","3.2","0.8",".","",".",".","",".","",".","",".","0.8",".","."
"Special","","6","3.000",".","33.3","16.7",".","16.7",".",".","33.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","31","3.817","67.7","22.6","6.5",".",".",".",".","3.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","162","3.191","31.5","23.5","21.0","10.5","8.0","2.5","0.6","1.9","",".",".","",".","",".","",".","0.6",".","."
