"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","78","3.266","32.1","33.3","10.3","14.1","5.1","1.3","2.6","1.3",".",".",".",".",".",".",".","."
"","275
002","106","3.903","85.8","5.7","4.7",".","0.9",".",".","2.8",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","184","3.631","63.0","17.4","7.1","6.0","2.7","0.5","1.1","2.2",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","77","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","20","3.350","45.0","25.0","15.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","002
370","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","Course Total","43","3.616","60.5","23.3","9.3","2.3",".","4.7",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","60","2.975","3.3","20.0","51.7","18.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","51","3.333","39.2","19.6","15.7","19.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","80","3.538","41.3","36.3","12.5","8.8","1.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
001","26","3.769","73.1","7.7","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","76","3.960","93.4","2.6","2.6",".",".",".",".",".","1.3",".",".",".",".",".",".","."
"","501
003","18","3.139","27.8","11.1","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"","501
008","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
012","44","3.455","38.6","29.5","20.5","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","501
013","50","3.880","88.0","8.0","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","501
021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","224","3.712","74.6","11.6","8.0","3.6","1.3","0.4",".",".","0.4",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503
001","25","3.800","84.0","4.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","532
001","23","3.543","30.4","52.2","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","532
002","30","3.250","16.7","26.7","46.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","53","3.377","22.6","37.7","32.1","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562
001","31","3.194","9.7","41.9","32.3","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","59","3.602","55.9","25.4","10.2",".","8.5",".",".",".",".",".",".",".",".",".",".","."
"","565
001","50","3.580","48.0","26.0","20.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"","565
002","44","3.455","38.6","29.5","20.5","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","Course Total","94","3.521","43.6","27.7","20.2","6.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","23","3.326","26.1","34.8","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","26","3.847","88.5","3.8",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
015","8","3.912","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","657
001","37","3.027","5.4","27.0","43.2","16.2","8.1",".",".",".",".",".",".",".",".",".",".","."
"","657
002","34","3.897","79.4","20.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","71","3.444","40.8","23.9","22.5","8.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","17","3.000","17.6","23.5","11.8","35.3","11.8",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","31","3.516","54.8","6.5","29.0","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Economc Organizatn-Househld","748
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 144 of 405",""
