"","990
023","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
031","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
035","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Individual Research","Course Total","31","",".",".",".",".",".",".",".","90.3","6.5",".",".","3.2","",".",".",".","."
"FRENCH
400","Dept. Total","1157","3.471","42.0","28.6","16.7","4.9","1.8","0.7","0.9","3.8","0.2",".",".","0.1","",".",".","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","98","3.315","29.6","34.7","20.4","7.1","4.1","1.0","2.0","1.0",".",".",".",".","",".",".",".","."
"Sophomore","","293","3.410","32.4","35.8","20.1","8.2","1.4","0.3","1.0","0.7",".",".",".",".","",".",".",".","."
"Junior","","263","3.471","38.8","32.7","22.1","3.4","1.5","0.4","0.8","0.4",".",".",".",".","",".",".",".","."
"Senior","","341","3.477","47.8","25.8","14.4","4.4","2.6","1.5","0.9","2.3",".",".",".",".","",".",".",".","0.3"
"Undergraduates","","995","3.436","39.1","31.5","18.7","5.5","2.1","0.8","1.0","1.2",".",".",".",".","",".",".",".","0.1"
"Special","","20","3.786","75.0","5.0","5.0","5.0",".",".",".","5.0",".",".",".",".","",".",".","5.0","."
"Graduate","","142","3.828","57.7","12.0","4.2","0.7",".",".",".","21.8","1.4",".",".","0.7","",".",".","1.4","."
"","Dept. Total","1157","3.471","42.0","28.6","16.7","4.9","1.8","0.7","0.9","3.8","0.2",".",".","0.1","",".",".","0.3","0.1"
