"L&S","","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","1939","3.074","25.1","16.1","25.5","12.9","14.1","1.3","0.8","3.6","",".","0.1","",".","0.1","0.2","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","323","2.622","9.3","10.8","26.0","21.1","26.0","3.7","2.8","0.3","",".",".","",".",".",".",".",".","."
"Sophomore","","533","3.085","21.4","18.2","32.3","13.3","13.1","0.4","0.6","0.4","",".",".","",".",".","0.2","0.2",".","."
"Junior","","395","3.069","22.3","18.5","29.9","11.9","15.7","1.0","0.3","0.3","",".",".","",".",".",".","0.3",".","."
"Senior","","556","3.218","33.3","17.4","21.0","11.5","10.1","1.4","0.5","3.8","",".","0.2","",".",".","0.2","0.2",".","0.4"
"Undergraduates","","1807","3.038","23.1","16.7","27.2","13.8","15.1","1.4","0.9","1.4","",".","0.1","",".",".","0.1","0.2",".","0.1"
"Special","","20","3.404","20.0","15.0","10.0",".","5.0",".",".","40.0","",".",".","",".",".","5.0","5.0",".","."
"Graduate","","108","3.937","60.2","3.7","0.9","0.9",".",".",".","33.3","",".",".","",".","0.9",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","3","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","4","3.625","25.0","75.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1939","3.074","25.1","16.1","25.5","12.9","14.1","1.3","0.8","3.6","",".","0.1","",".","0.1","0.2","0.2",".","0.1"
