"Research","Course Total","10","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"","999
012","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","999
022","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"S&A PHM
732","Dept. Total","457","3.370","33.5","20.1","37.2","3.1","2.8","0.2","",".","3.1","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","3.625","50.0","25.0","25.0",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","17","3.786","58.8","29.4","5.9",".",".",".","",".","5.9","",".",".",".","",".","",".",".",".","."
"Undergraduates","","21","3.756","57.1","28.6","9.5",".",".",".","",".","4.8","",".",".",".","",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".",".","",".","",".",".",".","."
"Graduate","","24","4.000","54.2",".",".",".",".",".","",".","45.8","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","137","3.125","20.4","0.7","70.8",".","8.0",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","123","3.230","16.3","27.6","42.3","11.4","1.6","0.8","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","150","3.703","52.7","34.0","12.7",".",".",".","",".","0.7","",".",".",".","",".","",".",".",".","."
"Professionals","","410","3.334","31.0","21.0","41.0","3.4","3.2","0.2","",".","0.2","",".",".",".","",".","",".",".",".","."
"","Dept. Total","457","3.370","33.5","20.1","37.2","3.1","2.8","0.2","",".","3.1","",".",".",".","",".","",".",".",".","."
