"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Topics in Jewish Studies","202
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","9","3.063","44.4",".","22.2","11.1",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","13","3.500","38.5","15.4","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Jewish Lit: Greco-Roman Period","346
001","7","3.214","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","371
003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
004","10","2.938","40.0",".","10.0","10.0","10.0",".","10.0","20.0",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","Course Total","52","3.806","84.6",".","3.8","1.9","1.9",".","1.9","3.8",".",".",".",".",".",".","1.9","."
"Mod Pol Hist of Jews:1655-1919","373
001","9","3.500","22.2","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Jewish Cultural History","377
001","23","3.543","34.8","43.5","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416
001","15","3.628","46.7","33.3","6.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Undergrad Smr in Judaism&Arts","450
001","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","490
001","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","490
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Jewish Studies","Course Total","10","3.333","50.0","10.0","10.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"Germn-Jewsh Cltr Since 18c","510
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","77","3.671","53.2","36.4","6.5",".","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"Research Colloquium for Majors","675
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independnt Research for Majors","Course Total","5","***","","","","","","","","","","","","","","","",""
"Directed Study","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"JEWISH
510","Dept. Total","247","3.613","51.0","23.9","10.5","2.4","1.2","0.4","1.2","4.9",".","4.0",".",".",".",".","0.4","."
