"INTEGRATED LIBERAL STUDIES Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"153
001
Ways of Knowing in Sciences","","33","3.303","36.4","15.2","33.3","3.0","12.1",".",".",".",".",".",".",".",".",".",".","."
"157
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
004","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
011","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
015","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
004","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
005","","10","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"198
006","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
008","","9","",".",".",".",".",".",".",".",".",".","77.8","22.2",".",".",".",".","."
"198
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
010","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"011
198","","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"Course Total
Directed Study","","92","",".",".",".",".",".",".",".",".",".","94.6","5.4",".",".",".",".","."
"199
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"199
061","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","","74","3.658","56.8","24.3","12.2","2.7","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","","63","3.159","9.5","46.0","30.2","7.9","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","","67","3.209","20.9","25.4","34.3","13.4","6.0",".",".",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","","117","3.452","45.3","24.8","18.8","2.6","2.6","3.4","0.9","0.9","0.9",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","","119","3.102","10.9","40.3","29.4","10.1","3.4","2.5","2.5","0.8",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","","25","3.280","36.0","24.0","28.0",".","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","","19","3.474","47.4","21.1","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"271
001
PreCoperncn Astrn-Crosscltr","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
001","","20","3.971","80.0","5.0",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"275
002","","14","3.731","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","","34","3.867","67.6","17.6","2.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"372
001
Interdis Studies-Soc Sciences","","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","","30","3.800","63.3","33.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
056
Undergraduate Thesis","","1","***","","","","","","","","","",".",".",".",".",".",".","."
