"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","407","2.842","13.0","21.6","26.8","18.2","11.8","6.4","2.0",".","0.2",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","104","001","423","2.775","5.7","19.6","31.7","23.4","13.9","4.7","0.9",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","106","001","307","2.862","14.7","19.9","25.4","16.9","17.3","4.9","1.0",".",".",".",".",".",".",".",".","."
"Topics in Polit Anal-Honors","181","001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","125","3.195","25.6","27.2","30.4","6.4","4.0","1.6","3.2","1.6",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","49","3.031","28.6","6.1","32.7","12.2","18.4","2.0",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","152","3.125","18.4","28.3","25.0","17.1","5.9","2.0","0.7","1.3","1.3",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","98","3.253","17.3","34.7","36.7","5.1","3.1","2.0",".","1.0",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","36","3.243","22.2","33.3","19.4","13.9","8.3",".",".",".",".",".",".",".",".",".",".","2.8"
"Latin America-Introduction","260","001","12","3.560","50.0","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".","8.3",".","."
"Political Choice and Strategy","274","001","70","2.920","17.1","17.1","21.4","24.3","15.7","2.9",".","1.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","3.212","26.5","26.5","26.5","2.9","11.8","2.9",".","2.9",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","71","3.436","22.5","47.9","25.4","1.4",".","1.4",".","1.4",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","18","3.194","16.7","22.2","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","140","3.234","35.0","19.3","20.7","10.0","12.1","2.1",".",".",".",".",".",".",".",".",".","0.7"
"The Politics of Human Rights","317","001","79","3.147","17.7","36.7","21.5","15.2","3.8","1.3","2.5","1.3",".",".",".",".",".",".",".","."
"Interntl Politics-Mid East","333","001","19","3.421","31.6","36.8","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"China in World Politics","346","001","93","3.624","47.3","32.3","18.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","60","2.758","23.3","16.7","25.0","5.0","11.7","13.3","5.0",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","63","2.762","6.3","22.2","28.6","19.0","19.0","1.6","3.2",".",".",".",".",".",".",".",".","."
"Globalizatn:State,Soc&Intl Sys","379","001","66","2.992","7.6","28.8","34.8","15.2","10.6",".","1.5",".",".",".",".",".",".",".",".","1.5"
"Study Abroad-Pol Sci:Intnl Rel","390","000A","17","3.491","41.2","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","400","001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
