"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Business Scholars Seminar","170
201","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","23","3.717","43.5","56.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","23","3.717","47.8","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.870","82.6","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","24","3.583","29.2","58.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","24","3.674","66.7","20.8","4.2",".",".",".","4.2",".",".",".",".",".",".","4.2",".","."
"","300
013","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","350","3.828","70.9","25.4","2.9","0.3",".",".","0.3",".",".",".",".",".",".","0.3",".","."
"","301
001","246","3.043","19.1","14.2","41.1","9.8","13.8","1.6",".","0.4",".",".",".",".",".",".",".","."
"","301
002","126","3.270","30.2","17.5","35.7","9.5","7.1",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","372","3.120","22.8","15.3","39.2","9.7","11.6","1.1",".","0.3",".",".",".",".",".",".",".","."
"","302
001","26","3.192","23.1","26.9","26.9","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"","302
002","38","3.389","39.5","21.1","15.8","10.5","7.9",".",".","5.3",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","64","3.306","32.8","23.4","20.3","10.9","9.4",".",".","3.1",".",".",".",".",".",".",".","."
"","303
001","78","2.994","24.4","14.1","41.0","2.6","10.3","2.6","5.1",".",".",".",".",".",".",".",".","."
"","303
002","71","3.303","40.8","12.7","33.8","2.8","4.2","5.6",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","149","3.141","32.2","13.4","37.6","2.7","7.4","4.0","2.7",".",".",".",".",".",".",".",".","."
"","304
001","57","3.330","21.1","28.1","43.9","5.3",".",".",".",".",".",".",".",".",".","1.8",".","."
"","304
002","55","3.352","29.1","21.8","36.4","10.9",".",".",".",".",".",".",".",".",".","1.8",".","."
"Intermediate Bus Statistics","Course Total","112","3.341","25.0","25.0","40.2","8.0",".",".",".",".",".",".",".",".",".","1.8",".","."
"Intercultural Communctn in Bus","320
001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","22","3.857","72.7","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","365
003","8","3.375","37.5",".","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","36","3.571","66.7",".","16.7","5.6","8.3",".",".","2.8",".",".",".",".",".",".",".","."
"","365
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","30","3.350","36.7","13.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","124","3.637","59.7","12.1","18.5","5.6","2.4",".",".","0.8",".",".",".",".",".",".","0.8","."
"Bus Scholars & Honors Seminar","380
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Experience in Business","450
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sys Thinking & Sustainable Bus","601
001","35","3.700","71.4","8.6","14.3",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","701
001","28","3.700","50.0","25.0","14.3",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"","710
001","66","3.508","27.3","48.5","22.7","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","59","3.458","27.1","40.7","28.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","Course Total","125","3.484","27.2","44.8","25.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
