"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"326
001
Design Education","","6","4.000","100.0",".","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"423
001
Stdt Tchg-Elem School Art","","10","4.000","100.0",".","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","10","4.000","100.0",".","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"570
001
Art-Exceptional Education","","5","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"951
001
Seminar in Art Education","","3","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"999
061
Adv Independent Reading","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ART ED
Dept. Total
176","","35","3.982","94.3","5.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","20","3.969","90.0","10.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","20","3.969","90.0","10.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","11","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","35","3.982","94.3","5.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
