"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","60","3.568","48.3","35.0","11.7",".",".",".","3.3",".",".",".",".",".",".",".",".","1.7"
"19&20 C Russian Lit Tran II","204
001","76","3.720","63.2","19.7","13.2","1.3","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"Women in Russn Lit in Trans","205
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov in Translation","220
001","25","3.375","48.0","20.0","12.0","4.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222
001","40","3.538","40.0","42.5","15.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","30","3.437","50.0","13.3","16.7","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","6","3.625","16.7","50.0",".",".",".",".",".","16.7","16.7",".",".",".",".",".",".","."
"Vampire in Literature and Film","248
001","190","3.481","35.3","33.2","23.2","2.6","1.1",".","1.1","3.7",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","22","3.571","36.4","36.4","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264
001","12","3.125","33.3","16.7","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","83","3.676","54.2","33.7","4.8","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275
001","233","3.367","27.9","36.1","23.2","7.7","3.9",".","0.4","0.9",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Trans:Scand Topics in Depth","331
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:K Hamsun&20C Novel","338
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","9","3.448","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360
001","80","3.093","21.3","18.8","35.0","1.3","13.8",".","2.5","6.3",".",".",".",".","1.3",".",".","."
"Topics in Japanese Lit","373
001","17","3.618","70.6","5.9","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","410
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","410
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","Course Total","13","3.875","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","940","3.472","39.8","30.0","19.0","3.9","3.7","0.2","1.0","1.9","0.1",".",".",".","0.1",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","3.284","30.5","33.9","16.9","8.5","6.8",".","3.4",".",".",".",".",".",".",".",".","."
"Sophomore","","204","3.579","47.5","29.4","14.7","3.9","2.9",".","0.5",".",".",".",".",".",".",".",".","1.0"
"Junior","","263","3.495","41.4","33.1","17.1","3.4","3.0",".","1.5",".",".",".",".",".","0.4",".",".","."
"Senior","","410","3.424","35.9","28.0","22.9","3.7","4.1","0.5","0.5","4.1","0.2",".",".",".",".",".",".","."
"Undergraduates","","936","3.471","39.6","30.1","19.1","4.0","3.7","0.2","1.0","1.8","0.1",".",".",".","0.1",".",".","0.2"
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","940","3.472","39.8","30.0","19.0","3.9","3.7","0.2","1.0","1.9","0.1",".",".",".","0.1",".",".","0.2"
