"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","126","3.230","23.8","30.2","27.8","11.1","4.8","1.6","0.8",".",".",".",".",".",".",".",".","."
"","300
002","126","3.228","25.4","25.4","30.2","10.3","5.6","2.4",".","0.8",".",".",".",".",".",".",".","."
"","300
003","121","3.133","18.2","27.3","31.4","12.4","8.3","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Operations Management","Course Total","373","3.198","22.5","27.6","29.8","11.3","6.2","1.6","0.5","0.5",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research II","411
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","60","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","65","3.554","36.9","36.9","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","55","3.591","40.0","40.0","18.2","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","180","3.564","37.2","38.9","23.3","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","732
001","90","3.483","33.3","33.3","31.1","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","732
030","59","3.517","45.8","22.0","25.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","149","3.497","38.3","28.9","28.9","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plan-Qual/New Servc&Prodct","860
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
