"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"","299
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Practicum-Fam & Consumer Educ","330
001","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","375
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","38","3.447","71.1",".","10.5",".","10.5","7.9",".",".",".",".",".",".",".",".",".","."
"","375
003","16","3.625","37.5","56.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","89","3.697","76.4","10.1","4.5","1.1","4.5","3.4",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","27","3.577","59.3","11.1","14.8","3.7","7.4",".",".",".",".",".",".",".","3.7",".",".","."
"","501
001","20","3.842","70.0","20.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","501
002","125","3.968","99.2",".",".",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"","501
003","12","3.208","25.0","33.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","501
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","160","3.894","89.4","5.6","1.9","0.6","1.3",".","0.6","0.6",".",".",".",".",".",".",".","."
"Foundations of Educ for Work","660
001","13","3.909","76.9",".","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods","793
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-HE
498","Dept. Total","312","3.809","81.7","7.4","4.2","1.0","2.6","1.0","0.3","0.3",".",".",".",".","1.3","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","2.682","45.5","9.1",".",".","18.2","18.2","9.1",".",".",".",".",".",".",".",".","."
"Sophomore","","53","3.820","86.8","3.8","1.9",".","3.8","1.9",".",".",".",".",".",".",".","1.9",".","."
"Junior","","56","3.883","89.3","3.6","3.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Senior","","175","3.843","80.0","9.1","5.7","1.1","1.7",".",".","0.6",".",".",".",".","1.7",".",".","."
"Undergraduates","","295","3.802","81.7","7.1","4.4","1.0","2.7","1.0","0.3","0.3",".",".",".",".","1.0","0.3",".","."
"Special","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","Dept. Total","312","3.809","81.7","7.4","4.2","1.0","2.6","1.0","0.3","0.3",".",".",".",".","1.3","0.3",".","."
