"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"832
Theory of Probability","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Empir Proc&Semiparmtrc Infernc","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","23","3.413","17.4","47.8","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","250","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","38","",".",".",".",".",".",".",".","97.4",".",".",".","2.6",".",".",".","."
"992
Seminar","001","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","","1989","3.245","33.6","18.1","25.3","8.9","8.3","1.5","1.1","2.7",".","0.4",".","0.1",".",".","0.1","."
