"LAW","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Constitutional Law I","","Course Total","297","1.209","8.4","1.3","24.2",".","3.4","1.0",".","1.3",".",".",".",".",".",".","0.3","."
"Trusts and Estates","733","001","151","1.134","11.3",".","8.6",".","6.0","1.3","0.7","25.8",".",".",".",".",".",".",".","."
"Payments Systems","735","001","28","1.574","21.4","3.6","10.7",".","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"Secured Transactions","736","001","27","1.478","11.1",".","18.5","7.4","3.7",".",".","14.8",".",".",".",".",".",".",".","."
"Constitutional Law II","740","001","60","0.904","6.7",".","15.0",".","3.3",".",".","11.7",".",".",".",".",".",".","1.7","."
"Bus Orgnztions II:Publ Corp","741","001","52","1.755","7.7","11.5","30.8","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","743","001","10","1.600","10.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","002","15","1.733","13.3",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","003","15","1.400","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","40","1.552","15.0",".","32.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744","001","132","1.114","6.1",".","23.5",".","4.5",".","0.8","6.8",".",".",".",".",".",".",".","."
"Labor Relations Law","745","001","8","1.571","25.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Protective Labor Legislatn","747","001","14","1.385","7.1",".","28.6",".","7.1",".","7.1","7.1",".",".",".",".",".",".",".","."
"Trademarks","749","001","30","1.963","16.7",".","26.7",".","13.3","3.3",".","10.0",".",".",".",".",".",".",".","."
"Patent Law","751","001","6","1.250","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Equal Employment Law","765","001","30","1.766","23.3",".","26.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","771","001","8","1.429","12.5",".","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Law and the Elderly","773","001","15","1.000","6.7",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","801","001","70","1.351","2.9",".","30.0",".","4.3",".",".","17.1",".",".",".",".",".",".","1.4","."
"","801","002","24","0.778","8.3",".","8.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Evidence","","Course Total","94","1.213","4.3",".","24.5",".","3.2",".",".","19.1",".",".",".",".",".",".","1.1","."
"","802","001","69","1.303","10.1",".","23.2",".","7.2",".","1.4","4.3",".",".",".",".",".",".",".","."
"","802","002","83","0.951","4.8",".","24.1",".","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Civil Procedure II","","Course Total","152","1.108","7.2",".","23.7",".","3.9",".","0.7","2.6",".",".",".",".",".",".",".","."
"","808","001","13","0.462",".",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","002","14","1.071","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","003","8","0.000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","35","0.538","8.6",".","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","001","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","002","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","003","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","004","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"","815","006","16","1.267","6.3",".","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Appellate Advocacy II","","Course Total","97","1.267","1.0",".","5.2",".",".",".",".","83.5",".",".",".",".",".",".","1.0","."
"Business Organizations I","817","001","84","1.336","16.7","1.2","14.3",".","1.2",".","1.2","13.1",".",".",".",".",".",".",".","."
"Conflict of Laws","820","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bankruptcy Law","821","001","41","1.346","9.8","2.4","22.0",".","7.3",".",".","4.9",".",".",".",".",".",".",".","."
"Family Law I","822","001","25","1.804","12.0","4.0","32.0",".","4.0",".",".",".",".",".",".",".",".",".","8.0","."
"Family Law II","823","001","23","1.432","13.0","4.3","17.4",".","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824","001","28","0.750","10.7",".","7.1",".",".",".","3.6","14.3",".",".",".",".",".",".",".","."
"Insurance Law","825","001","29","0.885","10.3",".","10.3",".","3.4",".",".","10.3",".",".",".",".",".",".",".","."
"International Law","827","001","64","1.102","6.3","1.6","23.4",".","4.7",".",".",".",".",".",".",".",".",".",".","."
