"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","24","3.771","54.2","45.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","48","3.760","56.3","39.6","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","","71","3.613","59.2","25.4","7.0","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","","29","3.466","48.3","17.2","20.7","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"","197","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197","002","","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","","Course Total","","41","3.854","78.0","14.6","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","26","3.979","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","60","3.150","10.0","30.0","50.0","3.3","5.0","1.7",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","","52","3.413","48.1","11.5","23.1","9.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321","001","","56","3.518","42.9","32.1","12.5","10.7","1.8",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","25","3.880","92.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","47","3.883","87.2","6.4","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","","29","3.603","44.8","31.0","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","50","3.367","38.0","26.0","16.0","14.0","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","39","3.654","56.4","25.6","12.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","39","3.577","46.2","28.2","20.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","11","3.947","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Secondary PE","462","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","47","3.723","48.9","46.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","40","3.125","12.5","25.0","45.0","10.0","7.5",".",".",".",".",".",".",".",".",".",".","."
