"","875
004","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","875
011","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","875
013","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTER-AG
494","Dept. Total","","33","3.974","97.0","",".","3.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","10","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","12","3.917","91.7","",".","8.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","3","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","28","3.964","96.4","",".","3.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","4","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","33","3.974","97.0","",".","3.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
