"RELIGIOUS STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"200
Intro Topics in Relig St (H)","001","","38","3.000","15.8","15.8","31.6","15.8","15.8",".",".","2.6","2.6",".",".",".",".",".",".","."
"234
Genres-Westrn Relig Writing","001","","53","3.377","32.1","35.8","20.8","5.7","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"235
Genres-Asian Religious Writing","001","","26","3.462","30.8","34.6","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"237
Biblical Poetry in Translation","001","","13","3.269","23.1","30.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"328
Classical Rabbinic Lit in Tran","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Prophets of the Bible","001","","72","3.401","45.8","23.6","15.3","5.6","4.2","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"342
In Trans:Mythlgy-Scandnavia","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"343
Anthropology of Religion","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"346
Jewish Lit: Greco-Roman Period","001","","10","2.900","40.0",".","20.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"367
Jainism: Relig of Non-Violence","001","","68","3.469","35.3","36.8","16.2","2.9","2.9",".","1.5","4.4",".",".",".",".",".",".",".","."
"377
Jewish Cultural History","001","","27","3.673","44.4","40.7","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"400","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"400","004","","39","3.368","23.1","38.5","23.1","12.8",".",".",".","2.6",".",".",".",".",".",".",".","."
"400","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"400","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"400","010","","10","3.625","30.0","40.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"400","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"400","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","Course Total","","65","3.446","29.2","35.4","20.0","7.7","1.5",".",".","6.2",".",".",".",".",".",".",".","."
"402
Thought of Gandhi","001","","139","3.187","16.5","36.0","27.3","10.1","3.6","0.7","2.2","1.4",".",".",".",".",".","1.4",".","0.7"
"439
Islamic Hist:Orig-Ottoman Empr","001","","11","3.451","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"472
Christian Lit: The Gospels","001","","47","2.936","29.8","10.6","31.9","2.1","12.8","10.6","2.1",".",".",".",".",".",".",".",".","."
"502
Spec Topic-Philos Relig","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Religion-Critical Perspective","001","","12","3.250","16.7","66.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"618
Political Islam","001","","13","2.731","23.1","30.8",".","7.7","23.1","7.7","7.7",".",".",".",".",".",".",".",".","."
"624
Meditation-Buddhism & Hinduism","001","","15","3.679","40.0","46.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"682","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Research Colloquium for Majors","001","","19","",".",".",".",".",".",".",".",".",".","94.7","5.3",".",".",".",".","."
"697","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 291 of 405",""
