"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","41","2.888","17.1","12.2","29.3","19.5","14.6","4.9",".",".","2.4",".",".",".",".",".",".","."
"","252
001","21","3.125","28.6","23.8","14.3","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","4.8"
"","252
002","41","2.695","14.6","22.0","24.4","14.6","9.8","4.9","9.8",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","62","2.836","19.4","22.6","21.0","12.9","11.3","4.8","6.5",".",".",".",".",".",".",".",".","1.6"
"","298
001","50","",".",".",".",".",".",".",".",".",".","98.0","2.0",".",".",".",".","."
"","298
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","51","",".",".",".",".",".",".",".",".",".","98.0","2.0",".",".",".",".","."
"","302
001","133","2.876","29.3","11.3","20.3","12.0","18.0","3.8","5.3",".",".",".",".",".",".",".",".","."
"","302
002","116","2.826","25.0","13.8","20.7","12.1","17.2","5.2","5.2",".",".",".",".",".",".",".",".","0.9"
"","302
003","7","2.286","14.3",".","28.6",".","28.6","28.6",".",".",".",".",".",".",".",".",".","."
"","302
004","17","3.094","17.6","17.6","35.3","11.8","11.8",".",".",".",".",".",".",".",".",".","5.9","."
"","302
005","20","3.075","15.0","20.0","45.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","302
006","21","3.214","42.9","9.5","19.0","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","302
007","22","3.227","54.5","13.6","4.5","4.5","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","010
302","15","3.067","40.0",".","40.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","351","2.920","29.1","12.3","22.5","10.5","16.5","4.3","4.3",".",".",".",".",".",".",".","0.3","0.3"
"Prob Solvng Using Computers","310
001","145","3.121","20.7","11.0","48.3","14.5","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"","352
001","14","2.962","7.1","21.4","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".","7.1"
"","352
002","47","2.638","6.4","10.6","31.9","40.4","2.1",".","8.5",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","61","2.708","6.6","13.1","31.1","37.7","3.3",".","6.6",".",".",".",".",".",".",".",".","1.6"
"Machine Organizatn&Progrmng","354
001","57","3.018","28.1","12.3","29.8","5.3","19.3","5.3",".",".",".",".",".",".",".",".",".","."
"","367
001","41","2.750","12.2","12.2","34.1","17.1","12.2","7.3","2.4","2.4",".",".",".",".",".",".",".","."
"","367
002","63","2.984","31.7","12.7","19.0","12.7","15.9","6.3","1.6",".",".",".",".",".",".",".",".","."
"","367
003","18","3.278","44.4","16.7","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","122","2.950","27.0","13.1","23.0","14.8","13.1","6.6","1.6","0.8",".",".",".",".",".",".",".","."
"Learn New Programming Lang","368
001","40","",".",".",".",".",".",".",".",".",".","85.0","12.5",".",".",".","2.5","."
"Tech:Computer-Based Bus Sys","371
001","9","3.278","55.6",".","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","412
001","66","2.947","24.2","10.6","31.8","15.2","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"","002
412","46","3.076","23.9","10.9","43.5","8.7","10.9",".","2.2",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","Course Total","112","3.000","24.1","10.7","36.6","12.5","12.5",".","3.6",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","8","3.375","50.0","25.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","39","2.962","12.8","17.9","30.8","25.6","12.8",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","27","2.788","40.7","11.1","11.1","7.4","3.7","7.4","14.8","3.7",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","40","2.936","30.0","17.5","17.5","10.0","10.0","7.5","5.0","2.5",".",".",".",".",".",".",".","."
"","537
001","36","3.283","36.1","22.2","30.6","2.8","2.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"","537
002","43","3.510","55.8","25.6","4.7","2.3","9.3",".","2.3",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","79","3.406","46.8","24.1","16.5","2.5","6.3","1.3","2.5",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","77","2.935","20.8","19.5","23.4","16.9","13.0","3.9","2.6",".",".",".",".",".",".",".",".","."
"Comp Systms Mdlng Fundmntls","547
001","19","3.861","78.9","5.3","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Intro-Computer Architecture","552
001","14","3.143","28.6","14.3","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","29","2.950","27.6","6.9","31.0","17.2","10.3","3.4","3.4",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 190 of 405",""
