"Human Embryology","742
001","6","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","990
048","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Genetics","993
001","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","136","3.846","77.9","10.3","7.4","0.7","",".","",".","",".","3.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","13","3.882","84.6","7.7",".","7.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","51","3.871","76.5","19.6","3.9",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","68","3.882","79.4","16.2","2.9","1.5","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","71","3.796","77.5","4.2","11.3",".","",".","",".","",".","7.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","140","3.846","78.6","10.0","7.1","0.7","",".","",".","",".","3.6","",".",".","",".","",".","",".",".",".","."
