"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","29","3.446","20.7","48.3","24.1","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"300","002","","34","3.652","55.9","20.6","14.7","5.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"300","003","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","26","3.865","84.6","11.5",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","116","3.732","63.8","20.7","10.3","2.6","0.9",".",".","1.7",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Independent Reading","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","40","3.388","35.0","32.5","17.5","10.0","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"500
Social Issues and Education","001","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Intro-Debates in Higher Ed Pol","001","","25","3.500","44.0","20.0","24.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","8","3.857","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Intro to Comparitv & Intl Educ","001","","18","3.529","27.8","44.4","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"780","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"780","003","","17","3.833","58.8","29.4",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Special Topics in Educ Policy","Course Total","","30","3.911","76.7","16.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"795
Economics of Education","001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Financng Elem&Secondry Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","30","",".",".",".",".",".",".",".","83.3",".",".",".","13.3",".",".","3.3","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","3.917","66.7","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".","11.1","."
