"","999
002","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
005","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
006","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","162","3.436","43.2","25.3","19.1","4.3","3.1","0.6","1.2","1.2","",".",".","",".","",".","1.2","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","2.714",".","42.9","28.6","14.3",".",".","14.3",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","18","3.176","11.1","44.4","22.2",".","16.7",".",".",".","",".",".","",".","",".","5.6",".",".","."
"Junior","","25","3.144","28.0","36.0","12.0","8.0","8.0","4.0","4.0",".","",".",".","",".","",".",".",".",".","."
"Senior","","75","3.596","50.7","21.3","22.7","4.0",".",".",".",".","",".",".","",".","",".",".","1.3",".","."
"Undergraduates","","125","3.396","37.6","28.8","20.8","4.8","4.0","0.8","1.6",".","",".",".","",".","",".","0.8","0.8",".","."
"Special","","5","3.167",".","20.0","40.0",".",".",".",".","40.0","",".",".","",".","",".",".",".",".","."
"Graduate","","18","3.684","61.1","16.7","11.1","5.6",".",".",".",".","",".",".","",".","",".","5.6",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","5","3.727","80.0",".","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","5","3.833","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","14","3.810","85.7","7.1","7.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","162","3.436","43.2","25.3","19.1","4.3","3.1","0.6","1.2","1.2","",".",".","",".","",".","1.2","0.6",".","."
