"HISTORY OF SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"201
Origins-Scientific Thought","001","","42","3.077","26.2","9.5","35.7","4.8","14.3",".","2.4","7.1",".",".",".",".",".",".",".","."
"202
Making of Modern Science","001","","74","3.139","10.8","35.1","36.5","8.1","4.1","1.4","1.4","2.7",".",".",".",".",".",".",".","."
"212
The Physician in History","001","","110","3.193","25.5","32.7","25.5","5.5","3.6","2.7","3.6","0.9",".",".",".",".",".",".",".","."
"222
Technol&Social Chng in Hist","001","","28","3.292","17.9","39.3","14.3","3.6","10.7",".",".","10.7",".",".",".",".",".","3.6",".","."
"280
Hon Sm:Studies-Sci,Tech,Med","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"284
Physician in Hist (Honors)","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"323
Sci Revol:Copernicus-Newton","001","","12","3.682","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"325
Hist of Phys-Classic Period","001","","29","3.432","24.1","34.5","6.9","3.4","6.9",".",".","20.7",".",".",".",".",".","3.4",".","."
"339
Technol & Critics Since WW II","001","","27","3.577","48.1","25.9","11.1","11.1",".",".",".","3.7",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","9","2.889","11.1","33.3","11.1","11.1","33.3",".",".",".",".",".",".",".",".",".",".","."
"508
Health, Disease&Healing II","001","","11","3.550","27.3","45.5","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"555
Undergrad Smr-Hist of Sci","001","","16","2.929","31.3","18.8","12.5","6.3","6.3",".","12.5",".",".",".",".",".","12.5",".",".","."
"562
Byzantine Med & Pharmacy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"623
Studies in Early Modern Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"639
Technol&Its Critics Since WWII","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"668","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"668","002","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Topics in History of Med","Course Total","","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"682
Senior Honors Thesis","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"909
History of Biology&Medicine","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919
Grad Studies-Medical Hist","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Seminar:Research and Thesis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"950
History of Science Colloq","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","5","***","","","","","","","","","","","","","","","",""
