"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"470
Engr Prob Solving with Comptrs","001","","31","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497
Technical Editing","002","","18","3.676","33.3","61.1",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"499","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Quality Engr & Quality Mgmnt","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"519
Engr/Bus Data Communications","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","","5","***","","","","","","","","","","","","","","","",""
"597
Tech&Professnl Communicatn","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Communicating Technical Info","001","","30","3.633","36.7","53.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Perspectives - Engine Modeling","001","","41","3.927","87.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","","3","***","","","","","","","","","","","","","","","",""
"690","002","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","003","","9","3.650","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","006","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","007","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","008","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","011","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","016","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","97","3.831","70.1","24.7","4.1",".",".",".",".","1.0",".",".",".",".",".",".",".","."
