"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","342","3.042","14.3","23.4","36.3","12.3","9.6","1.8","0.9","0.6",".",".",".",".",".","0.6",".","0.3"
"Criminal Justice in America","131
002","200","3.192","18.5","31.5","27.0","15.5","6.0",".","0.5","0.5",".",".",".",".","0.5",".",".","."
"","134
001","377","3.178","8.2","41.4","32.6","14.1","1.9",".","0.8","1.1",".",".",".",".",".",".",".","."
"","134
055","93","3.464","46.2","18.3","14.0","1.1","8.6","2.2",".","9.7",".",".",".",".",".",".",".","."
"","134
066","56","3.510","50.0","26.8","5.4","3.6","3.6",".","3.6","7.1",".",".",".",".",".",".",".","."
"","134
077","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","546","3.263","21.6","35.0","25.6","10.3","3.1","0.4","0.9","3.1",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","22","3.318","18.2","40.9","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","166","3.151","25.3","23.5","24.1","15.7","4.8","3.0","1.2","2.4",".",".",".",".",".",".",".","."
"Directed Study","198
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","78","3.936","96.2","1.3",".",".",".",".","1.3",".",".",".",".",".","1.3",".",".","."
"","199
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","94","3.943","96.8","1.1",".",".",".",".","1.1",".",".",".",".",".","1.1",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","66","3.086","22.7","22.7","24.2","18.2","3.0","4.5","1.5","1.5",".",".",".",".","1.5",".",".","."
"Survey of Sociology","210
001","116","3.404","31.0","31.0","29.3","6.0","0.9",".","0.9","0.9",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","84","3.375","44.0","22.6","19.0","2.4","8.3","2.4","1.2",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","59","2.741","11.9","20.3","20.3","13.6","20.3","10.2",".","3.4",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","86","3.273","22.1","37.2","19.8","15.1","5.8",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","35","2.886","14.3","17.1","25.7","17.1","25.7",".",".",".",".",".",".",".",".",".",".","."
"","357
001","20","3.656","55.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","22","3.500","27.3","50.0","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","23","3.261","34.8","21.7","26.1","13.0",".",".","4.3",".",".",".",".",".",".",".",".","."
"","357
004","15","3.267","33.3","13.3","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","357
005","17","3.000","29.4","29.4","11.8","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"","357
006","27","3.111","18.5","22.2","40.7","7.4","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"","357
007","16","3.563","56.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","357
008","16","3.719","87.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","357
009","27","3.722","66.7","22.2","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","357
010","21","3.857","81.0","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","204","3.467","48.0","22.1","18.1","6.4","2.9","1.0","1.5",".",".",".",".",".",".",".",".","."
"","360
001","28","3.167","21.4","32.1","25.0","7.1","3.6","7.1",".",".",".",".",".",".","3.6",".",".","."
"","360
002","34","3.015","14.7","20.6","32.4","17.6","14.7",".",".",".",".",".",".",".",".",".",".","."
"","360
003","34","2.971","26.5","26.5","14.7","8.8","14.7","2.9","5.9",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","96","3.042","20.8","26.0","24.0","11.5","11.5","3.1","2.1",".",".",".",".",".","1.0",".",".","."
"Stats for Sociologists II","361
001","22","3.159","22.7","36.4","13.6","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Mathematical Models-Social Sys","376
001","12","3.182","25.0","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".","8.3",".","."
"Criminology","441
001","107","3.495","49.5","26.2","12.1","1.9","5.6","0.9","1.9","1.9",".",".",".",".",".",".",".","."
"Study Abroad-Addl Meth & Stats","461
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 301 of 405",""
