"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","393","3.526","38.7","34.4","21.9","3.3","1.3","0.3",".","0.3",".",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","102","3.319","14.7","39.2","42.2","2.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335
001","14","3.000","14.3","28.6","35.7","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","335
002","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","40","3.313","25.0","35.0","30.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"","345
001","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","31","3.903","83.9","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","58","3.922","86.2","12.1","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","20","3.974","90.0","5.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","Course Total","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447
001","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public, Community&Alt Media","558
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","111","2.775","9.9","18.0","28.8","18.0","18.0","7.2",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","93","3.339","29.0","21.5","36.6","7.5","1.1","1.1",".","1.1",".",".",".",".",".","2.2",".","."
"Mass Media and Youth","616
002","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620
001","30","3.732","43.3","50.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Responsiblty in Mass Comm","666
001","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
004","62","3.332","21.0","33.9","37.1","6.5","1.6",".",".",".",".",".",".",".",".",".",".","."
"","676
010","12","3.872","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
034","46","3.902","80.4","19.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
036","15","3.421","26.7","53.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","676
095","15","3.895","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","150","3.528","50.7","28.0","17.3","2.7","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
093","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","697
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 240 of 405",""
