"Thesis","990
038","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
013","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
016","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"LINGUIS
550","Dept. Total","448","3.316","36.8","21.9","19.2","10.5","6.7","0.7","1.1","2.7","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","64","3.170","23.4","25.0","29.7","15.6","4.7",".","1.6",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","128","3.185","25.0","28.1","22.7","10.9","10.9","0.8","0.8","0.8","",".",".","",".","",".",".",".",".","."
"Junior","","100","3.283","35.0","27.0","12.0","15.0","8.0","1.0","1.0","1.0","",".",".","",".","",".",".",".",".","."
"Senior","","99","3.347","43.4","13.1","24.2","6.1","5.1","1.0","2.0","5.1","",".",".","",".","",".",".",".",".","."
"Undergraduates","","391","3.247","32.0","23.5","21.5","11.5","7.7","0.8","1.3","1.8","",".",".","",".","",".",".",".",".","."
"Special","","6","3.000",".","16.7","16.7","16.7",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Graduate","","51","3.893","78.4","9.8","2.0","2.0",".",".",".","3.9","",".",".","",".","",".","3.9",".",".","."
"","Dept. Total","448","3.316","36.8","21.9","19.2","10.5","6.7","0.7","1.1","2.7","",".",".","",".","",".","0.4",".",".","."
