"","990
068","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
070","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
071","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","45","",".",".",".",".",".",".","",".","95.6","",".",".",".","4.4","",".",".",".","."
"PATH-BIO
703","Dept. Total","555","3.603","50.6","18.2","13.2","1.3","0.5","0.2","",".","15.5","",".",".",".","0.4","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","16","3.200","50.0","6.3","18.8","6.3","12.5","6.3","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","21","3.368","61.9","4.8","14.3","4.8","9.5","4.8","",".",".","",".",".",".",".","",".",".",".","."
"Special","","12","4.000","8.3",".",".",".",".",".","",".","91.7","",".",".",".",".","",".",".",".","."
"Graduate","","60","3.827","20.0","5.0",".",".",".",".","",".","70.0","",".",".",".","3.3","",".",".","1.7","."
"Prof Yr 2","","320","3.561","54.1","22.8","20.9","1.9","0.3",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","79","3.804","63.3","30.4","3.8",".",".",".","",".","2.5","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","63","4.000","50.8",".",".",".",".",".","",".","49.2","",".",".",".",".","",".",".",".","."
"Professionals","","462","3.608","55.2","21.0","15.2","1.3","0.2",".","",".","7.1","",".",".",".",".","",".",".",".","."
"","Dept. Total","555","3.603","50.6","18.2","13.2","1.3","0.5","0.2","",".","15.5","",".",".",".","0.4","",".",".","0.2","."
