"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","068","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"289","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"289","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","14","3.840","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","48","3.947","91.7","2.1","4.2",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"399
Coord Intrnshp/Cooprtv Educ","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","381","3.165","29.9","11.3","34.1","9.4","14.4",".",".","0.3",".",".",".",".","0.3","0.3",".","."
"508
General Biochemistry II","001","","155","2.916","29.7","7.1","24.5","11.0","20.0","5.2","1.9","0.6",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","11","3.318","45.5","9.1","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"511","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","004","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","57","3.860","80.7","12.3","5.3","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","49","3.323","32.7","10.2","46.9","4.1","4.1",".",".",".",".",".",".",".",".",".","2.0","."
"575
Biology of Viruses","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","37","3.118","16.2","18.9","43.2","2.7","8.1","2.7",".","8.1",".",".",".",".",".",".",".","."
"625
Coenzymes&Cofactors-Enzymology","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","60","3.058","35.0","15.0","20.0",".","25.0","3.3","1.7",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
