"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Race, Ethnicity, and Media","347","001","25","3.680","48.0","40.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","166","2.988","10.8","24.7","31.3","17.5","12.0","1.8",".","1.8",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","178","3.389","24.2","44.9","21.3","5.1","2.2",".","1.1","1.1",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","93","3.098","12.9","36.6","29.0","12.9","3.2","1.1","3.2",".",".",".",".",".",".",".",".","1.1"
"Intro to Media Production","355","001","132","3.408","37.1","34.1","16.7","5.3","1.5","1.5","2.3",".",".",".",".",".",".",".",".","1.5"
"Intro to Rhetorical Thry&Crit","360","001","128","3.070","13.3","35.9","29.7","12.5","1.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","122","3.201","20.5","27.0","31.1","14.8","6.6",".",".",".",".",".",".",".",".",".",".","."
"","402","001","24","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","40","3.436","42.5","27.5","12.5","7.5","5.0","2.5",".",".","2.5",".",".",".",".",".",".","."
"Psychology of Communication","","Course Total","64","3.444","35.9","32.8","20.3","4.7","3.1","1.6",".",".","1.6",".",".",".",".",".",".","."
"History of Broadcasting","450","001","38","3.355","18.4","47.4","21.1","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463","001","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","49","3.740","67.3","20.4","4.1","2.0","4.1",".",".","2.0",".",".",".",".",".",".",".","."
"Media, Deliberatn & Public Iss","525","001","15","3.167","13.3","46.7","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"American Cinema Since 1970","552","001","102","3.113","19.6","26.5","26.5","19.6","5.9",".","2.0",".",".",".",".",".",".",".",".","."
"Contemporary Media Industries","557","001","37","3.243","29.7","24.3","27.0","2.7","16.2",".",".",".",".",".",".",".",".",".",".","."
"Public, Community&Alt Media","558","001","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","38","3.184","21.1","42.1","18.4","5.3","5.3","7.9",".",".",".",".",".",".",".",".",".","."
"","609","001","16","3.344","25.0","25.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","609","002","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","28","3.446","32.1","28.6","35.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","610","001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","002","24","3.870","75.0","16.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","610","003","37","3.811","70.3","27.0",".",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","70","3.797","67.1","25.7","4.3",".","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"","613","001","29","3.810","69.0","27.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","613","002","24","3.563","33.3","45.8","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","53","3.698","52.8","35.8","9.4","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 183 of 405",""
