"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","68","2.956","16.2","29.4","20.6","17.6","7.4","7.4","1.5",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","54","2.824","14.8","18.5","31.5","9.3","14.8","11.1",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","16","2.906","25.0","12.5","25.0","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","38","3.039","21.1","28.9","15.8","5.3","28.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","55","2.764","18.2","16.4","16.4","20.0","20.0","7.3","1.8",".",".",".",".",".",".",".",".","."
"","324","002","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.458","16.7","66.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","36","3.458","22.2","50.0","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","38","2.974","15.8","18.4","44.7","13.2",".","2.6","5.3",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","23","3.022","30.4","4.3","34.8",".","30.4",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","27","3.056","29.6","14.8","22.2","11.1","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","34","3.074","17.6","26.5","23.5","17.6","14.7",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","32","3.109","21.9","28.1","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","475","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stem Cell Bioengineering","520","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","35","3.114","40.0","5.7","28.6",".","20.0","5.7",".",".",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","28","3.661","39.3","53.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","003","","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","55","3.691","49.1","40.0","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","023","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 106 of 405",""
