"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","102
002","11","2.818","9.1","18.2","27.3","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","2.690","13.6","9.1","31.8","22.7","4.5","9.1","4.5",".",".",".",".",".",".","4.5",".","."
"","102
004","24","2.708","8.3","12.5","33.3","20.8","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","57","2.723","10.5","12.3","31.6","21.1","14.0","7.0","1.8",".",".",".",".",".",".","1.8",".","."
"4th Semester Portuguese","202
001","17","3.147","23.5","41.2",".","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"Portuguese for Business","207
001","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","13","3.538","53.8","7.7","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","14","3.615","35.7","42.9","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"History of Portuguese Language","330
001","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468
001","7","3.500","42.9","14.3","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Directed Study","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Thesis","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","162","3.191","31.5","23.5","21.0","10.5","8.0","2.5","0.6","1.9",".",".",".",".",".","0.6",".","."
