"","990
078","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
079","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
080","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","34","",".",".",".",".",".",".",".","97.1","2.9",".",".","",".","",".",".",".","."
"PATH
704","Dept. Total","664","3.334","36.7","21.8","17.9","9.6","2.9","1.1","0.9","5.1","0.2","3.6",".","",".","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","3.125",".","75.0",".",".","25.0",".",".",".",".",".",".","",".","",".",".",".","."
"Junior","","102","3.100","18.6","30.4","25.5","13.7","7.8","2.9","1.0",".",".",".",".","",".","",".",".",".","."
"Senior","","123","3.152","17.9","33.3","24.4","17.9","4.1","1.6","0.8",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","229","3.128","17.9","32.8","24.5","15.7","6.1","2.2","0.9",".",".",".",".","",".","",".",".",".","."
"Special","","17","2.583","41.2","5.9","23.5",".",".","5.9","23.5",".",".",".",".","",".","",".",".",".","."
"Graduate","","146","3.515","32.9","13.0","11.0","2.7",".",".",".","21.9","0.7","16.4",".","",".","",".",".","1.4","."
"Prof Yr 1","","129","3.143","13.2","31.8","31.8","18.6","3.9","0.8",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","148","3.959","93.2","5.4","1.4",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","6","3.885","66.7","16.7",".",".",".",".",".","16.7",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".","",".","",".",".",".","."
"Professionals","","289","3.514","56.7","17.3","14.9","8.3","1.7","0.3",".","0.7",".",".",".","",".","",".",".",".","."
"","Dept. Total","681","3.334","38.2","21.3","17.5","9.4","2.8","1.0","0.9","5.0","0.1","3.5",".","",".","",".",".","0.3","."
