"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","2.500",".",".",".","100.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","5","3.222","20.0","40.0","20.0","20.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","7","2.615",".",".","57.1",".","28.6","",".","",".","14.3","",".",".","",".",".","",".",".",".","."
"Undergraduates","","13","2.833","7.7","15.4","38.5","15.4","15.4","",".","",".","7.7","",".",".","",".",".","",".",".",".","."
"Special","","5","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Graduate","","96","3.533","10.4","3.1","8.3",".",".","",".","",".","75.0","",".",".","",".","3.1","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
