"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","24","3.227","12.5","37.5","33.3","4.2",".","4.2",".","8.3",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","11","3.400","54.5","18.2","9.1",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","11","3.400","45.5","36.4",".",".",".",".","9.1",".",".",".",".",".","9.1",".",".","."
"590","003","","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","37","3.576","45.9","45.9","2.7",".",".",".","2.7",".",".",".",".",".","2.7",".",".","."
"644
Internatnl Developmnt & Gender","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"751
Intro to Financial Planning","001","","20","3.675","35.0","65.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Central City Planning-Issue","002","","15","3.893","73.3","20.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"781","002","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"781","003","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Thought & Practice","Course Total","","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Func, Spatial Org&Envr Form","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Theory&Practice-Ed Planning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"878
Public Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"969
Smr:Trends&Iss-Public Plan","001","","19","3.605","47.4","26.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","9","3.900","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
