"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","188","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","198","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","42","3.864","81.0",".",".",".",".",".","2.4","14.3",".",".",".",".","2.4",".",".","."
