"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"461
Collegium Musicum","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"497","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"497","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","005","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","007","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","47","3.976","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"499","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","128","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"50
Concert Choir","001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.3"
"515
Prosem-Ethnomusicology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"52
Women's Chorus","001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"53
Choral Union","001","","43","3.952","93.0",".","4.7",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"542
Choral Lit &Perf Prac-Today","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Practcm-Adv String Pedagogy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"546
String Literature","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"55
Masters' Singers","001","","42","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
University Opera","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"557
Opera Workshop","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","55","3.909","96.4",".","1.8",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"560
Prac Adv Studio Teach-Piano","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Advanced Ensemble-Piano","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","4","***","","","","","","","","","","","","","","","",""
"565
Advanced Ensemble-Woodwind","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"568","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","","2","***","","","","","","","","","","","","","","","",""
"569","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"569","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-String","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
