"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar in Kinesiology","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"951
Seminar-Biomechanics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Human Biodynamics Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Smr-Phys Activity Epidemiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Smr-Motor Control, Learning","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","14","",".",".",".",".",".",".",".","92.9",".",".",".","7.1",".",".",".","."
"999
Independent Reading","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"KINES
742","Dept. Total","","827","3.587","54.3","21.9","14.4","3.9","1.9","0.5","0.1","1.7",".","1.2",".","0.1",".",".",".","."
