"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","79","",".",".",".",".",".",".",".","96.2",".",".",".",".","3.8",".",".","."
"Vet Diag&Therapeut Techniq","625
001","78","4.000","97.4",".",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","79","3.519","32.9","38.0","29.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","79","2.892","6.3","8.9","60.8","5.1","19.0",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","16","4.000","56.3",".",".",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","18","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","20","4.000","65.0",".",".",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"","670
001","31","4.000","29.0",".",".",".",".",".",".","71.0",".",".",".",".",".",".",".","."
"","670
002","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","39","4.000","35.9",".",".",".",".",".",".","64.1",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","13","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","44","4.000","29.5",".",".",".",".",".",".","70.5",".",".",".",".",".",".",".","."
"","675
001","28","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","675
002","43","4.000","88.4",".",".",".",".",".",".","11.6",".",".",".",".",".",".",".","."
"","675
003","31","4.000","93.5",".",".",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"","675
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","675
008","37","4.000","2.7",".",".",".",".",".",".","97.3",".",".",".",".",".",".",".","."
"","675
009","79","",".",".",".",".",".",".",".","97.5",".",".",".",".","2.5",".",".","."
"","675
010","12","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"","675
011","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
015","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
021","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","508","4.000","21.5",".",".",".",".",".",".","78.1",".",".",".",".","0.4",".",".","."
"","678
001","40","4.000","47.5",".",".",".",".",".",".","52.5",".",".",".",".",".",".",".","."
"","678
002","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","47","4.000","53.2",".",".",".",".",".",".","46.8",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","18","4.000","72.2",".",".",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 396 of 405",""
