"","990
042","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
045","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
046","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis","Course Total","35","",".",".",".",".",".",".",".","80.0","5.7",".",".","14.3","",".",".",".","."
"SPANISH
912","Dept. Total","3226","3.294","36.0","19.6","27.2","6.1","6.3","1.4","1.0","2.0","0.1",".",".","0.2","",".","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","424","3.119","21.7","25.0","33.5","6.6","9.0","1.7","2.4","0.2",".",".",".",".","",".",".",".","."
"Sophomore","","1021","3.272","29.5","20.8","33.7","7.7","6.1","0.9","0.6","0.7",".",".",".",".","",".",".",".","0.1"
"Junior","","763","3.284","35.9","18.3","29.0","6.7","6.6","1.2","0.8","1.0","0.1",".",".",".","",".","0.3","0.1","."
"Senior","","851","3.393","47.7","18.2","18.3","4.1","6.1","2.4","0.9","2.0",".",".",".",".","",".",".",".","0.2"
"Undergraduates","","3059","3.282","35.1","20.0","28.2","6.3","6.6","1.5","1.0","1.1","0.0",".",".",".","",".","0.1","0.0","0.1"
"Special","","18","2.792","27.8","11.1","22.2","16.7","11.1",".","11.1",".",".",".",".",".","",".",".",".","."
"Graduate","","146","3.764","54.1","11.6","6.2","0.7",".",".","0.7","21.2","1.4",".",".","3.4","",".",".","0.7","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","3226","3.294","36.0","19.6","27.2","6.1","6.3","1.4","1.0","2.0","0.1",".",".","0.2","",".","0.1","0.1","0.1"
