"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","366","002","","8","3.769","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","","Course Total","","16","3.817","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424","001","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance Repertory","453","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thtr-Yng Audiences:Productn","462","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Technology Topics","464","001","","12","3.500","41.7","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamntl-Technical Directn","470","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scenic Painting","472","001","","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Drama of Europe: 1650-1850","521","001","","13","3.250","30.8","30.8","23.1",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"Theatres-China & Japan","526","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Drama&Theatre to 1900","534","001","","18","3.563","50.0","11.1","16.7","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Acting Shakespeare","541","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Theatre-Cultrl&Soc Aware","557","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","51","3.963","94.1",".","2.0","2.0",".",".",".",".",".",".",".",".",".",".","2.0","."
"Costume Design II","563","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Technical Practices","571","001","","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts Stage Management","579","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","698","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","25","3.920","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 313 of 405",""
