"","699
011","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
012","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
013","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Directed Studies","Course Total","21","4.000","95.2",".",".",".",".",".",".","",".","",".",".","",".",".","",".",".","4.8","."
"BIOLOGY
205","Dept. Total","982","2.987","28.2","10.3","31.9","3.9","11.3","3.4","3.1","",".","",".","7.4","",".","0.1","",".","0.1","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","117","2.448","12.0","5.1","17.1","8.5","15.4","7.7","4.3","",".","",".","29.1","",".",".","",".",".",".","0.9"
"Sophomore","","389","2.892","18.5","12.1","37.5","3.9","12.9","2.8","4.1","",".","",".","7.7","",".",".","",".","0.3",".","0.3"
"Junior","","322","3.134","30.1","13.0","37.3","2.8","9.9","3.1","1.2","",".","",".","2.5","",".",".","",".",".",".","."
"Senior","","105","3.054","45.7","4.8","25.7","3.8","10.5","2.9","3.8","",".","",".",".","",".","1.0","",".",".","1.0","1.0"
"Undergraduates","","933","2.972","24.8","10.7","33.5","4.1","11.9","3.5","3.1","",".","",".","7.7","",".","0.1","",".","0.1","0.1","0.3"
"Special","","37","3.716","91.9","2.7",".",".",".",".","2.7","",".","",".","2.7","",".",".","",".",".",".","."
"Graduate","","12","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","982","2.987","28.2","10.3","31.9","3.9","11.3","3.4","3.1","",".","",".","7.4","",".","0.1","",".","0.1","0.1","0.3"
