"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"404
Vertebrate Physiology","001","","15","3.200","40.0","6.7","20.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","79","3.386","36.7","17.7","34.2","8.9","2.5",".",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","79","3.563","36.7","39.2","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","79","3.592","51.9","21.5","22.8","1.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","80","3.069","18.8","18.8","38.8","7.5","15.0","1.3",".",".",".",".",".",".",".",".",".","."
"556
Basic & Clin Vet Therapeutics","001","","80","3.325","22.5","36.3","30.0","6.3","5.0",".",".",".",".",".",".",".",".",".",".","."
"675","001","","79","3.462","21.5","50.6","26.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","79","3.304","31.6","15.2","41.8","5.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","158","3.367","26.6","32.9","34.2","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
