"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"692","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"693","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"694","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"694","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","055","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","065","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","029","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"695","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","52","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.9"
"697","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","012","","12","3.926","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","014","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","023","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","031","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","058","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","77","3.988","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 287 of 405",""
