"","990
028","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
030","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","25","",".",".",".",".",".",".","",".","68.0","",".",".",".","32.0","",".",".",".","."
"DY SCI
292","Dept. Total","309","3.486","48.9","14.9","16.8","4.5","5.8","0.6","",".","5.8","",".",".",".","2.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.607","50.0","20.0","30.0",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","58","3.246","31.0","20.7","31.0","8.6","5.2","3.4","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","63","3.323","44.4","19.0","12.7","11.1","12.7",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","81","3.520","51.9","14.8","22.2","2.5","8.6",".","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","212","3.400","43.9","17.9","22.2","6.6","8.5","0.9","",".",".","",".",".",".",".","",".",".",".","."
"Special","","5","3.864","80.0","20.0",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","92","3.865","58.7","7.6","5.4",".",".",".","",".","19.6","",".",".",".","8.7","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","310","3.486","49.0","14.8","16.8","4.5","5.8","0.6","",".","5.8","",".",".",".","2.6","",".",".",".","."
