"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","76","3.000","10.5","32.9","34.2","9.2","6.6","3.9","2.6",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153","001","","32","3.710","59.4","21.9","12.5","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","16","3.281","25.0","43.8","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","65","3.031","26.2","16.9","24.6","13.8","9.2","7.7",".",".",".",".",".",".",".",".",".","1.5"
"Interior Design I","222","001","","32","3.484","15.6","65.6","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","80","3.119","15.0","30.0","33.8","16.3","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","15","3.667","66.7","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","323","002","","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","","Course Total","","30","3.717","70.0","23.3",".",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","53","3.235","35.8","13.2","26.4","1.9","18.9",".",".","3.8",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","8","2.813","25.0",".","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"","420","001","","29","3.569","55.2","24.1","17.2",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","420","002","","31","3.600","45.2","35.5","9.7","3.2","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Twentieth Century Design","","Course Total","","60","3.585","50.0","30.0","13.3","1.7","1.7",".","1.7","1.7",".",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","20","3.675","55.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"","501","003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","006","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","009","","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","127","3.943","93.7","3.1","1.6",".",".",".",".",".",".",".",".",".",".","0.8",".","0.8"
"Material Culture Analysis","512","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","30","3.683","36.7","63.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 146 of 405",""
