"TERM : 1094","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2008-2009","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","891","3.465","36.4","20.7","15.0","3.8","2.5","0.8","0.8","0.8","0.1","18.6","0.6","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","136","3.258","23.5","16.2","19.1","5.1","2.2","1.5","1.5",".",".","30.9",".","",".","",".",".",".","."
"Sophomore","275","3.440","29.1","23.3","15.6","5.1","1.5","0.7","0.4",".",".","24.0","0.4","",".","",".",".",".","."
"Junior","188","3.373","30.9","21.3","14.9","3.2","3.7","0.5","1.6",".",".","22.3","1.6","",".","",".",".",".","."
"Senior","288","3.602","52.8","20.1","12.8","2.4","2.8","0.7","0.3","2.4","0.3","5.2",".","",".","",".",".",".","."
"Undergraduates","887","3.464","36.3","20.7","15.1","3.8","2.5","0.8","0.8","0.8","0.1","18.6","0.5","",".","",".",".",".","."
"Special","4","4.000","50.0",".",".",".",".",".",".",".",".","25.0","25.0","",".","",".",".",".","."
"Dept. Total","891","3.465","36.4","20.7","15.0","3.8","2.5","0.8","0.8","0.8","0.1","18.6","0.6","",".","",".",".",".","."
