"","999
002","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
016","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
019","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
032","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","6","3.857","66.7","16.7","16.7",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"DS
359","Dept. Total","754","3.452","47.5","24.0","15.9","4.9","3.4","1.3","0.9","1.5","0.1",".","",".","",".","",".","0.1",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","66","3.130","28.8","24.2","27.3","7.6","6.1","4.5","1.5",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","149","3.389","37.6","32.2","16.1","8.7","3.4","0.7","0.7",".",".",".","",".","",".","",".",".",".","0.7"
"Junior","","194","3.508","50.5","25.3","16.0","4.6","1.5","1.5","0.5",".",".",".","",".","",".","",".",".",".","."
"Senior","","295","3.492","53.9","20.3","14.6","3.4","4.7","1.0","1.0","0.7",".",".","",".","",".","",".",".",".","0.3"
"Undergraduates","","704","3.441","47.2","24.6","16.5","5.3","3.7","1.4","0.9","0.3",".",".","",".","",".","",".",".",".","0.3"
"Special","","9","3.605","33.3","33.3","11.1",".",".",".",".","22.2",".",".","",".","",".","",".",".",".","."
"Graduate","","41","3.693","56.1","12.2","7.3",".",".",".","2.4","17.1","2.4",".","",".","",".","",".","2.4",".","."
"","Dept. Total","754","3.452","47.5","24.0","15.9","4.9","3.4","1.3","0.9","1.5","0.1",".","",".","",".","",".","0.1",".","0.3"
