"","575
005","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","575
007","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","14","3.917","92.9",".","7.1",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Current Issues Seminar","640
001","22","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","221","3.587","52.9","23.5","20.4","1.8","0.9","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","3.500","25.0","50.0","25.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","27","3.282","7.4","44.4","44.4","3.7",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","178","3.609","57.3","21.3","18.0","1.7","1.1","0.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","209","3.568","50.2","24.9","21.5","1.9","1.0","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","12","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","221","3.587","52.9","23.5","20.4","1.8","0.9","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
