"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Survey of Spanish American Lit","Course Total","","60","3.583","66.7","3.3","23.3",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"327","001","","22","3.136","36.4","18.2","31.8",".",".","9.1","4.5",".",".",".",".",".",".",".",".","."
"327","002","","27","3.741","70.4","14.8","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","49","3.469","55.1","16.3","18.4","4.1",".","4.1","2.0",".",".",".",".",".",".",".",".","."
"359
Spanish Business Area Study","001","","25","3.380","40.0","28.0","16.0",".","16.0",".",".",".",".",".",".",".",".",".",".","."
"363
Spanish Amer Civilization","001","","24","3.607","45.8","29.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"417
Literatura del Siglo de Oro","001","","16","3.353","37.5","18.8","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","66","3.962","92.4","4.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".","1.5"
"460
Literatura Hispanoamericana","001","","14","3.561","35.7","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"463
The Spanish American Novel","001","","21","3.007","19.0","23.8","28.6","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"464
Spanish Amer Poetry & Essay","001","","22","3.693","77.3","9.1","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"465
Lit&Film in Spanish America","001","","22","3.706","59.1","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"468","001","","28","3.341","53.6","7.1","17.9","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".","."
"468","002","","25","3.902","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","53","3.607","66.0","13.2","9.4","5.7","1.9","3.8",".",".",".",".",".",".",".",".",".","."
"504
Survey of Medieval Lit","001","","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Advanced Survey-Spanish Lit","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Topics-Hispanic Linguistics","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Textual Criticism","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Topics-Spanish American Lit","001","","17","3.647","58.8","11.8","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"817
Romance Philology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Cervantes Don Quijote","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 308 of 405",""
