"ENGR MECHANICS & ASTRONA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"","890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Rheology Research Seminar","925","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
