"","699
004","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
005","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
030","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","6","3.833","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"E A STDS
298","Dept. Total","131","3.574","55.7","13.0","17.6","2.3","3.1","",".","1.5","1.5","",".","5.3","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.125",".","37.5","50.0","12.5",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","23","3.587","52.2","21.7","21.7",".","4.3","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","28","3.339","50.0","21.4","14.3","3.6","3.6","",".","7.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","69","3.750","65.2","4.3","14.5","1.4","1.4","",".",".","2.9","",".","10.1","",".","",".","",".",".",".","."
"Undergraduates","","128","3.580","55.5","13.3","18.0","2.3","2.3","",".","1.6","1.6","",".","5.5","",".","",".","",".",".",".","."
"Graduate","","3","3.333","66.7",".",".",".","33.3","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","131","3.574","55.7","13.0","17.6","2.3","3.1","",".","1.5","1.5","",".","5.3","",".","",".","",".",".",".","."
