"","990
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","61","",".",".",".",".",".",".",".","93.4",".",".",".","6.6",".",".",".","."
"PSYCH
820","Dept. Total","4399","3.073","34.6","15.5","17.7","12.2","13.5","3.3","1.4","1.6","0.0",".",".","0.1","0.1","0.0","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","502","2.608","11.0","15.5","16.5","23.5","23.3","7.6","2.4",".",".",".",".",".",".",".","0.2","."
"Sophomore","","1180","2.915","22.6","17.8","19.3","15.9","18.4","4.2","1.4","0.1",".",".",".",".",".","0.1",".","0.2"
"Junior","","1046","3.066","33.0","15.6","21.6","12.2","12.6","3.1","1.6","0.1",".",".",".",".","0.1",".","0.1","."
"Senior","","1376","3.340","48.5","15.8","16.7","7.0","8.6","1.5","0.9","0.7","0.1",".",".","0.1","0.1",".",".","0.1"
"Undergraduates","","4104","3.055","32.5","16.3","18.7","12.9","14.3","3.4","1.4","0.3","0.0",".",".","0.0","0.0","0.0","0.0","0.1"
"Special","","37","2.789","40.5","10.8","5.4","8.1","13.5","8.1","5.4","8.1",".",".",".",".",".",".",".","."
"Graduate","","254","3.808","67.3","2.8","2.8","1.6","0.4","0.4",".","22.4",".",".",".","1.6","0.8",".",".","."
"Prof Yr 1","","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Professionals","","4","2.833",".","25.0","25.0",".","25.0",".",".","25.0",".",".",".",".",".",".",".","."
"","Dept. Total","4399","3.073","34.6","15.5","17.7","12.2","13.5","3.3","1.4","1.6","0.0",".",".","0.1","0.1","0.0","0.0","0.1"
