"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","165","2.573","18.8","6.7","33.9","2.4","20.0","10.9","7.3",".",".",".",".",".",".",".",".","."
"","201
002","149","2.503","16.1","5.4","31.5","5.4","23.5","12.1","6.0",".",".",".",".",".",".",".",".","."
"Statics","Course Total","314","2.540","17.5","6.1","32.8","3.8","21.7","11.5","6.7",".",".",".",".",".",".",".",".","."
"","202
001","66","2.621","1.5","7.6","30.3","40.9","18.2",".","1.5",".",".",".",".",".",".",".",".","."
"","202
002","52","2.510","5.8","9.6","17.3","38.5","23.1",".","5.8",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","118","2.572","3.4","8.5","24.6","39.8","20.3",".","3.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","77","2.955","13.0","24.7","28.6","15.6","14.3","3.9",".",".",".",".",".",".",".",".",".","."
"","307
001","9","3.000","11.1","44.4",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","307
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","11","3.364","27.3","54.5","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","307
005","12","2.917",".","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","56","3.196","19.6","37.5","17.9","16.1","7.1","1.8",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","31","3.048","9.7","25.8","38.7","22.6",".","3.2",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","18","3.556","61.1",".","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","18","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","41","2.573","22.0","12.2","9.8","14.6","26.8","7.3","7.3",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","40","3.550","60.0","7.5","25.0","2.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","37","3.243","24.3","18.9","43.2","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"","599
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.800","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","601
001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615
001","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","10","3.375","40.0","10.0","10.0","10.0","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","35","2.700","5.7","11.4","37.1","20.0","20.0","5.7",".",".",".",".",".",".",".",".",".","."
"Master's Research","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
