"","990
031","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","35","",".",".",".",".",".",".",".","88.6","",".",".",".","11.4",".",".",".","."
"THEATRE
942","Dept. Total","1174","3.728","68.9","15.1","7.0","2.6","1.3","0.6","0.7","3.0","",".","0.3",".","0.3","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","157","3.655","64.3","17.8","12.7","1.3","2.5",".","1.3",".","",".",".",".",".",".",".",".","."
"Sophomore","","298","3.780","74.8","15.4","6.4","1.7","0.3","1.3",".",".","",".",".",".",".",".",".",".","."
"Junior","","245","3.752","69.8","18.8","6.5","2.0","1.2",".","0.4",".","",".","0.4",".",".","0.8",".",".","."
"Senior","","321","3.653","68.5","14.6","7.2","4.4","1.6","0.9","1.6","1.2","",".",".",".",".",".",".",".","."
"Undergraduates","","1021","3.715","70.0","16.4","7.6","2.5","1.3","0.7","0.8","0.4","",".","0.1",".",".","0.2",".",".","."
"Special","","10","3.304","50.0","10.0","10.0","20.0","10.0",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","143","3.882","62.2","6.3","2.1","1.4","0.7",".",".","21.7","",".","2.1",".","2.8",".",".","0.7","."
"","Dept. Total","1174","3.728","68.9","15.1","7.0","2.6","1.3","0.6","0.7","3.0","",".","0.3",".","0.3","0.2",".","0.1","."
