"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","12","3.083","8.3","41.7","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"471
Topics-Medical Physics","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Patient Safety&Error Reduction","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","19","3.579","52.6","15.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","23","3.557","26.1","60.9","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"570
Adv Brachytherapy Physics","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Rad Lab-Med Ultrasound Phys","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","12","",".",".",".",".",".",".",".","8.3",".",".",".","91.7",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","67","",".",".",".",".",".",".",".","68.7",".",".",".","31.3",".",".",".","."
